"","X1","YEAR","LocationAbbr","LocationDesc","TopicType","TopicDesc","MeasureDesc","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value_Footnote_Symbol","Data_Value_Footnote","Data_Value_Std_Err","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Gender","Race","Age","Education","GeoLocation","TopicTypeId","TopicId","MeasureId","StratificationID1","StratificationID2","StratificationID3","StratificationID4","SubMeasureID","DisplayOrder","Current"
"1",6,2015,"AZ","Arizona","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.5,0.3,6.1,1377,"Overall","All Races","All Ages","Middle School","(34.865970280000454, -111.76381127699972)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","1EDU","YTS07",7,3.2
"2",7,2015,"AZ","Arizona","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.5,0.3,6.2,700,"Male","All Races","All Ages","Middle School","(34.865970280000454, -111.76381127699972)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","1EDU","YTS07",7,3.2
"3",8,2015,"AZ","Arizona","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.6,0.1,6.1,671,"Female","All Races","All Ages","Middle School","(34.865970280000454, -111.76381127699972)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","1EDU","YTS07",7,3.1
"4",36,2015,"CT","Connecticut","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.2,0.4,1.2,2462,"Overall","All Races","All Ages","Middle School","(41.56266102000046, -72.64984095199964)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","1EDU","YTS07",7,0.8
"5",37,2015,"CT","Connecticut","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1,3.6,7.7,2260,"Overall","All Races","All Ages","High School","(41.56266102000046, -72.64984095199964)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","2EDU","YTS07",7,5.6
"6",38,2015,"CT","Connecticut","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.2,0.3,1.1,1253,"Male","All Races","All Ages","Middle School","(41.56266102000046, -72.64984095199964)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","1EDU","YTS07",7,0.7
"7",39,2015,"CT","Connecticut","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.1,3.5,7.7,1166,"Male","All Races","All Ages","High School","(41.56266102000046, -72.64984095199964)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","2EDU","YTS07",7,5.6
"8",40,2015,"CT","Connecticut","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.2,0.5,1.4,1198,"Female","All Races","All Ages","Middle School","(41.56266102000046, -72.64984095199964)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","1EDU","YTS07",7,1
"9",41,2015,"CT","Connecticut","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.3,3,8.2,1088,"Female","All Races","All Ages","High School","(41.56266102000046, -72.64984095199964)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","2EDU","YTS07",7,5.6
"10",78,2015,"GA","Georgia","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.4,8.1,13.6,1370,"Overall","All Races","All Ages","High School","(32.83968109300048, -83.62758034599966)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","2EDU","YTS07",7,10.8
