"","YEAR","LocationAbbr","LocationDesc","TopicType","TopicDesc","DataSource","Response","Data_Value_Unit","Data_Value_Type","Data_Value_Footnote_Symbol","Data_Value_Footnote","Data_Value_Std_Err","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Gender","Race","Age","Education","GeoLocation","TopicTypeId","TopicId","MeasureId","StratificationID1","StratificationID2","StratificationID3","StratificationID4","SubMeasureID","DisplayOrder","Percent of Current Smokers Who Want to Quit","Quit Attempt in Past Year Among Current Cigarette Smokers","Smoking Status","User Status"
"1",2015,"AZ","Arizona","Tobacco Use – Survey Data","Cessation (Youth)","YTS",NA,"%","Percentage","*","Data in these cells have been suppressed because of a small sample size",NA,NA,NA,NA,"Overall","All Races","All Ages","Middle School","(34.865970280000454, -111.76381127699972)","BEH","105BEH","170CES","1GEN","8AGE","6RAC","1EDU","YTS01",1,NA,NA,NA,NA
"2",2015,"AZ","Arizona","Tobacco Use – Survey Data","Cessation (Youth)","YTS",NA,"%","Percentage","*","Data in these cells have been suppressed because of a small sample size",NA,NA,NA,NA,"Male","All Races","All Ages","Middle School","(34.865970280000454, -111.76381127699972)","BEH","105BEH","170CES","2GEN","8AGE","6RAC","1EDU","YTS02",2,NA,NA,NA,NA
"3",2015,"AZ","Arizona","Tobacco Use – Survey Data","Cessation (Youth)","YTS",NA,"%","Percentage","*","Data in these cells have been suppressed because of a small sample size",NA,NA,NA,NA,"Female","All Races","All Ages","Middle School","(34.865970280000454, -111.76381127699972)","BEH","105BEH","170CES","3GEN","8AGE","6RAC","1EDU","YTS03",3,NA,NA,NA,NA
"4",2015,"AZ","Arizona","Tobacco Use – Survey Data","Cessation (Youth)","YTS",NA,"%","Percentage","*","Data in these cells have been suppressed because of a small sample size",NA,NA,NA,NA,"Overall","All Races","All Ages","Middle School","(34.865970280000454, -111.76381127699972)","BEH","105BEH","169QUA","1GEN","8AGE","6RAC","1EDU","YTS04",4,NA,NA,NA,NA
"5",2015,"AZ","Arizona","Tobacco Use – Survey Data","Cessation (Youth)","YTS",NA,"%","Percentage","*","Data in these cells have been suppressed because of a small sample size",NA,NA,NA,NA,"Male","All Races","All Ages","Middle School","(34.865970280000454, -111.76381127699972)","BEH","105BEH","169QUA","2GEN","8AGE","6RAC","1EDU","YTS05",5,NA,NA,NA,NA
"6",2015,"AZ","Arizona","Tobacco Use – Survey Data","Cessation (Youth)","YTS",NA,"%","Percentage","*","Data in these cells have been suppressed because of a small sample size",NA,NA,NA,NA,"Female","All Races","All Ages","Middle School","(34.865970280000454, -111.76381127699972)","BEH","105BEH","169QUA","3GEN","8AGE","6RAC","1EDU","YTS06",6,NA,NA,NA,NA
"7",2015,"AZ","Arizona","Tobacco Use – Survey Data","Cigarette Use (Youth)","YTS","Current","%","Percentage",NA,NA,1.5,0.3,6.1,1377,"Overall","All Races","All Ages","Middle School","(34.865970280000454, -111.76381127699972)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","1EDU","YTS07",7,NA,NA,3.2,NA
"8",2015,"AZ","Arizona","Tobacco Use – Survey Data","Cigarette Use (Youth)","YTS","Current","%","Percentage",NA,NA,1.5,0.3,6.2,700,"Male","All Races","All Ages","Middle School","(34.865970280000454, -111.76381127699972)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","1EDU","YTS07",7,NA,NA,3.2,NA
"9",2015,"AZ","Arizona","Tobacco Use – Survey Data","Cigarette Use (Youth)","YTS","Current","%","Percentage",NA,NA,1.6,0.1,6.1,671,"Female","All Races","All Ages","Middle School","(34.865970280000454, -111.76381127699972)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","1EDU","YTS07",7,NA,NA,3.1,NA
"10",2015,"AZ","Arizona","Tobacco Use – Survey Data","Cigarette Use (Youth)","YTS","Ever","%","Percentage",NA,NA,2.7,7.2,17.9,1331,"Overall","All Races","All Ages","Middle School","(34.865970280000454, -111.76381127699972)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","1EDU","YTS08",8,NA,NA,12.5,NA
"11",2015,"AZ","Arizona","Tobacco Use – Survey Data","Cigarette Use (Youth)","YTS","Ever","%","Percentage",NA,NA,2.6,7.7,18.1,669,"Male","All Races","All Ages","Middle School","(34.865970280000454, -111.76381127699972)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","1EDU","YTS08",8,NA,NA,12.9,NA
"12",2015,"AZ","Arizona","Tobacco Use – Survey Data","Cigarette Use (Youth)","YTS","Ever","%","Percentage",NA,NA,3.8,4.8,19.7,656,"Female","All Races","All Ages","Middle School","(34.865970280000454, -111.76381127699972)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","1EDU","YTS08",8,NA,NA,12.2,NA
"13",2015,"AZ","Arizona","Tobacco Use – Survey Data","Cigarette Use (Youth)","YTS","Frequent","%","Percentage",NA,NA,0.3,0,1.1,1377,"Overall","All Races","All Ages","Middle School","(34.865970280000454, -111.76381127699972)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","1EDU","YTS09",9,NA,NA,0.5,NA
"14",2015,"AZ","Arizona","Tobacco Use – Survey Data","Cigarette Use (Youth)","YTS","Frequent","%","Percentage",NA,NA,0.6,0,1.9,700,"Male","All Races","All Ages","Middle School","(34.865970280000454, -111.76381127699972)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","1EDU","YTS09",9,NA,NA,0.8,NA
"15",2015,"AZ","Arizona","Tobacco Use – Survey Data","Cigarette Use (Youth)","YTS","Frequent","%","Percentage",NA,NA,0.1,0,0.3,671,"Female","All Races","All Ages","Middle School","(34.865970280000454, -111.76381127699972)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","1EDU","YTS09",9,NA,NA,0.1,NA
"16",2015,"AZ","Arizona","Tobacco Use – Survey Data","Smokeless Tobacco Use (Youth)","YTS","Current","%","Percentage",NA,NA,0.3,0.3,1.7,1373,"Overall","All Races","All Ages","Middle School","(34.865970280000454, -111.76381127699972)","BEH","151BEH","169USS","1GEN","8AGE","6RAC","1EDU","YTS10",10,NA,NA,NA,1
"17",2015,"AZ","Arizona","Tobacco Use – Survey Data","Smokeless Tobacco Use (Youth)","YTS","Current","%","Percentage",NA,NA,0.6,0,2.3,692,"Male","All Races","All Ages","Middle School","(34.865970280000454, -111.76381127699972)","BEH","151BEH","169USS","2GEN","8AGE","6RAC","1EDU","YTS10",10,NA,NA,NA,1.1
